module_type,region,climate,moisture,soil_type,count,sum,mean,median,min,max,q1,q3
Livestock,South-Eastern Asia,Tropical,Wet,Low Activity Clay,11,8.225028592503147,0.7477298720457406,1.2210160512989257,-21.19180148084784,24.865407114465246,-6.53342951075022,7.602505340868902
Livestock,South-Eastern Asia,Cool Temperate,Moist,Volcanic,11,8.140195535811785,0.7400177759828895,1.5921959829000119,-22.28132308684487,20.547326483683662,-6.812089804716644,7.531823320538581
Livestock,South-Eastern Asia,Boreal,Dry,Low Activity Clay,11,8.065115732730476,0.7331923393391342,1.2191323663872262,-19.425184138428865,20.74962851150356,-6.582830317607729,8.730072118875743
Livestock,Europe,Warm Temperate,Moist,Volcanic,7,7.860762241894491,1.122966034556356,-1.1694572783775001,-3.898145839328999,11.113237124999987,-3.37562269275,5.318400524976004
Livestock,Europe,Cool Temperate,Dry,Low Activity Clay,7,7.823883810515003,1.117697687216429,-0.9592397510625009,-10.680132870000003,10.680132870000003,-1.4972313915624995,10.437402577500004
Livestock,Central America,Boreal,Dry,Low Activity Clay,11,7.676501544319917,0.6978637767563561,0.03495596993530463,-22.990715326641777,26.161643143073423,-6.982932366752302,7.489824333792148
Livestock,Caribbean,Cool Temperate,Dry,Volcanic,11,7.6286596437751575,0.6935145130704689,0.19798755794354037,-22.585553558005504,27.945391539192066,-9.330540941721747,6.304186098081448
Livestock,South-Eastern Asia,Tropical,Dry,Sandy,11,7.5126441168831475,0.6829676469893771,1.2767015871497258,-20.929362444122393,20.014884289956047,-6.030764847300956,8.055233792542827
Livestock,South-Eastern Asia,Tropical,Moist,Low Activity Clay,11,7.495598897846607,0.6814180816224188,1.5560145604220106,-23.91855463469433,23.936078891097328,-7.382220649622767,8.574939889359726
Livestock,Oceania,Tropical,Wet,Spodic,9,7.463871086451672,0.8293190096057413,-1.3082314835345636,-21.51628375563588,30.310066502991063,-7.14119039547117,6.611355667080375
Livestock,North America,Tropical Montane,Dry,Low Activity Clay,7,7.460218851487501,1.0657455502125002,-0.6387983844000003,-36.316794601912484,42.81317945189999,-35.25791248980002,36.860544875700015
Livestock,North America,Tropical,Dry,Wetland,7,7.303445827833031,1.0433494039761473,-0.6927677028359999,-36.40808102343749,38.446933560750004,-31.94202308456248,38.058580696499995
Livestock,Oceania,Boreal,Dry,Volcanic,11,7.242998802439433,0.658454436585403,1.3466795838252434,-19.815686306166143,20.766925748517956,-7.041175747586678,8.0620350950322
Livestock,Southern Africa,Warm Temperate,Moist,Wetland,12,7.181779584830741,0.5984816320692284,-0.34801751932571534,-10.43806910118964,14.367995129590177,-5.383004413589646,9.491417746619623
Livestock,Eastern Asia,Boreal,Dry,Sandy,11,7.135919691069064,0.6487199719153695,1.0149343354764437,-25.44010127399545,19.815686306166143,-6.571764031080899,7.801962683994952
Livestock,Caribbean,Tropical,Moist,Low Activity Clay,11,7.074853325961047,0.643168484178277,0.271950857508348,-22.022066456228576,25.13930579949257,-8.504902672953422,9.636278167134773
