module,region,climate,moisture,soil_type,count,sum,mean,median,min,max,q1,q3
Grassland,Northern Africa,Tropical,Dry,Low Activity Clay,496,278.09930755995197,0.5606840878224838,-0.023597689500000074,-44.34600692683334,46.85489909393334,-16.68620794499999,17.766341156142836
Grassland,Oceania,Tropical,Dry,Low Activity Clay,496,277.9875497645144,0.560458769686521,0.0,-43.958330599333344,47.10457521407824,-16.473866196149974,17.722362244399967
Grassland,Southern Asia,Cool Temperate,Dry,Volcanic,496,277.73226173402696,0.5599440760766673,-0.017441770499999953,-43.49805053256667,46.223784261914275,-16.131775388666668,17.345331108914284
Grassland,North America,Boreal,Dry,Volcanic,496,277.35900332328674,0.5591915389582394,-0.017441770499999953,-43.08795667146667,46.15368614704421,-16.283158882466672,17.298915488829934
Grassland,Northern Africa,Boreal,Dry,Volcanic,496,277.016918772202,0.5585018523633105,0.0,-43.19833816191667,46.15368614704421,-16.31989734191667,17.19679286544127
Grassland,South-Eastern Asia,Cool Temperate,Dry,Volcanic,496,276.7167439280133,0.5578966611451881,0.0,-43.19877189906667,45.81209862245239,-16.20154247066667,17.638242111914284
Grassland,Central America,Boreal,Dry,Volcanic,496,276.71554456258247,0.5578942430697227,0.0,-43.45474449286666,45.94785427885713,-16.201542470666674,17.294274260816664
Grassland,Central Asia,Cool Temperate,Dry,Volcanic,496,276.6193283167523,0.5577002587031296,0.017441770499999953,-43.08755061966667,45.98722317694128,-16.24642042301667,17.47060097694127
Grassland,Central America,Cool Temperate,Dry,Volcanic,496,276.39883778078536,0.5572557213322286,0.0,-43.45474449286666,46.0737380045381,-16.217692258166664,17.410384619780952
Grassland,Central Asia,Boreal,Dry,Volcanic,496,276.21130095103683,0.5568776228851549,0.017441770499999953,-43.45474449286666,45.97884369906667,-16.201542470666674,17.345331108914284
Grassland,North America,Tropical,Dry,Low Activity Clay,496,275.96513178071194,0.556381314074016,-0.047195378999999926,-44.05769476808334,47.259805480433336,-16.561664583749987,17.735663995107128
