id,climate,land_use_type,region,forest_condition_type,from_year,forest_type,agb_min,agb_max,agb_growth_min,agb_growth_max,agb_unit,agb_min_min,agb_max_max,agb_growth_min_min,agb_growth_max_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 4.7, 4.8, 4.9, 4.10, 4.12; 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2006), Volume 4 AFOLU, tables 4.12."
9971,Tropical,Moist Deciduous Forest,Central Africa,Secondary,21,Natural,34.216,34.216,0.423,0.423,tC/ha,17.108,51.324,0.094,0.752,
9972,Tropical,Moist Deciduous Forest,Central Africa,Secondary,21,Plantation,56.4,227.01,1.41,7.05,tC/ha,-9.77469869,252.4239487,-,-,
9973,Tropical,Moist Deciduous Forest,Northern Africa,Secondary,21,Natural,34.216,34.216,0.423,0.423,tC/ha,17.108,51.324,0.094,0.752,
9974,Tropical,Moist Deciduous Forest,Northern Africa,Secondary,21,Plantation,56.4,227.01,1.41,7.05,tC/ha,-9.77469869,252.4239487,-,-,
9975,Tropical,Moist Deciduous Forest,Southern Africa,Secondary,21,Natural,34.216,34.216,0.423,0.423,tC/ha,17.108,51.324,0.094,0.752,
9976,Tropical,Moist Deciduous Forest,Southern Africa,Secondary,21,Plantation,56.4,227.01,1.41,7.05,tC/ha,-9.77469869,252.4239487,-,-,
9977,Tropical,Moist Deciduous Forest,Western Africa,Secondary,21,Natural,34.216,34.216,0.423,0.423,tC/ha,17.108,51.324,0.094,0.752,
9978,Tropical,Moist Deciduous Forest,Western Africa,Secondary,21,Plantation,56.4,227.01,1.41,7.05,tC/ha,-9.77469869,252.4239487,-,-,
9979,Tropical,Moist Deciduous Forest,Eastern Africa,Secondary,0,Natural,34.216,34.216,1.363,1.363,tC/ha,17.108,51.324,0.893,1.833,
9980,Tropical,Moist Deciduous Forest,Eastern Africa,Secondary,0,Plantation,18.8,91.65,1.41,7.05,tC/ha,-10.28307331,169.0255733,6.11,10.34,
9981,Tropical,Moist Deciduous Forest,Central Africa,Secondary,0,Natural,34.216,34.216,1.363,1.363,tC/ha,17.108,51.324,0.893,1.833,
9982,Tropical,Moist Deciduous Forest,Central Africa,Secondary,0,Plantation,18.8,91.65,1.41,7.05,tC/ha,-10.28307331,169.0255733,6.11,10.34,
9983,Tropical,Moist Deciduous Forest,Northern Africa,Secondary,0,Natural,34.216,34.216,1.363,1.363,tC/ha,17.108,51.324,0.893,1.833,
9984,Tropical,Moist Deciduous Forest,Northern Africa,Secondary,0,Plantation,18.8,91.65,1.41,7.05,tC/ha,-10.28307331,169.0255733,6.11,10.34,
9985,Tropical,Moist Deciduous Forest,Southern Africa,Secondary,0,Natural,34.216,34.216,1.363,1.363,tC/ha,17.108,51.324,0.893,1.833,
9986,Tropical,Moist Deciduous Forest,Southern Africa,Secondary,0,Plantation,18.8,91.65,1.41,7.05,tC/ha,-10.28307331,169.0255733,6.11,10.34,
9987,Tropical,Moist Deciduous Forest,Western Africa,Secondary,0,Natural,34.216,34.216,1.363,1.363,tC/ha,17.108,51.324,0.893,1.833,
9988,Tropical,Moist Deciduous Forest,Western Africa,Secondary,0,Plantation,18.8,91.65,1.41,7.05,tC/ha,-10.28307331,169.0255733,6.11,10.34,
9989,Tropical,Moist Deciduous Forest,South America,Primary,0,Natural,88.031,88.031,0.188,0.188,tC/ha,43.851,132.211,-0.799,1.175,
9990,Tropical,Moist Deciduous Forest,Central America,Primary,0,Natural,88.031,88.031,0.188,0.188,tC/ha,43.851,132.211,-0.799,1.175,
9991,Tropical,Moist Deciduous Forest,Caribbean,Primary,0,Natural,88.031,88.031,0.188,0.188,tC/ha,43.851,132.211,-0.799,1.175,
9992,Tropical,Moist Deciduous Forest,North America,Primary,0,Natural,88.031,88.031,0.188,0.188,tC/ha,43.851,132.211,-0.799,1.175,
9993,Tropical,Moist Deciduous Forest,South America,Secondary,21,Natural,61.57,61.57,1.269,1.269,tC/ha,36.096,87.044,0.47,2.068,
9994,Tropical,Moist Deciduous Forest,South America,Secondary,21,Plantation,22.043,133.48,1.88,9.4,tC/ha,-14.37348533,158.068152,4.022455574,7.570877759,
9995,Tropical,Moist Deciduous Forest,Central America,Secondary,21,Natural,61.57,61.57,1.269,1.269,tC/ha,36.096,87.044,0.47,2.068,
9996,Tropical,Moist Deciduous Forest,Central America,Secondary,21,Plantation,22.043,133.48,1.88,9.4,tC/ha,-14.37348533,158.068152,4.022455574,7.570877759,
9997,Tropical,Moist Deciduous Forest,Caribbean,Secondary,21,Natural,61.57,61.57,1.269,1.269,tC/ha,36.096,87.044,0.47,2.068,
9998,Tropical,Moist Deciduous Forest,Caribbean,Secondary,21,Plantation,22.043,133.48,1.88,9.4,tC/ha,-14.37348533,158.068152,4.022455574,7.570877759,
9999,Tropical,Moist Deciduous Forest,North America,Secondary,21,Natural,61.57,61.57,1.269,1.269,tC/ha,36.096,87.044,0.47,2.068,
10000,Tropical,Moist Deciduous Forest,North America,Secondary,21,Plantation,22.043,133.48,1.88,9.4,tC/ha,-14.37348533,158.068152,4.022455574,7.570877759,
10001,Tropical,Moist Deciduous Forest,South America,Secondary,0,Natural,26.179,26.179,2.444,2.444,tC/ha,12.69,39.668,1.363,3.525,
10002,Tropical,Moist Deciduous Forest,South America,Secondary,0,Plantation,22.043,91.65,1.88,9.4,tC/ha,0.307130784,88.84246922,4.022455574,7.570877759,
10003,Tropical,Moist Deciduous Forest,Central America,Secondary,0,Natural,26.179,26.179,2.444,2.444,tC/ha,12.69,39.668,1.363,3.525,
10004,Tropical,Moist Deciduous Forest,Central America,Secondary,0,Plantation,22.043,91.65,1.88,9.4,tC/ha,0.307130784,88.84246922,4.022455574,7.570877759,
10005,Tropical,Moist Deciduous Forest,Caribbean,Secondary,0,Natural,26.179,26.179,2.444,2.444,tC/ha,12.69,39.668,1.363,3.525,
10006,Tropical,Moist Deciduous Forest,Caribbean,Secondary,0,Plantation,22.043,91.65,1.88,9.4,tC/ha,0.307130784,88.84246922,4.022455574,7.570877759,
10007,Tropical,Moist Deciduous Forest,North America,Secondary,0,Natural,26.179,26.179,2.444,2.444,tC/ha,12.69,39.668,1.363,3.525,
10008,Tropical,Moist Deciduous Forest,North America,Secondary,0,Plantation,22.043,91.65,1.88,9.4,tC/ha,0.307130784,88.84246922,4.022455574,7.570877759,
10009,Tropical,Moist Deciduous Forest,Central Asia,Primary,0,Natural,31.819,31.819,0.188,0.188,tC/ha,-12.079,75.717,0.0188,0.3572,
10010,Tropical,Moist Deciduous Forest,Eastern Asia,Primary,0,Natural,31.819,31.819,0.188,0.188,tC/ha,-12.079,75.717,0.0188,0.3572,
10011,Tropical,Moist Deciduous Forest,South-Eastern Asia,Primary,0,Natural,31.819,31.819,0.188,0.188,tC/ha,-12.079,75.717,0.0188,0.3572,
10012,Tropical,Moist Deciduous Forest,Southern Asia,Primary,0,Natural,31.819,31.819,0.188,0.188,tC/ha,-12.079,75.717,0.0188,0.3572,
10013,Tropical,Moist Deciduous Forest,Western Asia,Primary,0,Natural,31.819,31.819,0.188,0.188,tC/ha,-12.079,75.717,0.0188,0.3572,
10014,Tropical,Moist Deciduous Forest,Central Asia,Secondary,21,Natural,31.819,31.819,0.423,0.423,tC/ha,-12.079,75.717,0.0423,0.8037,
10015,Tropical,Moist Deciduous Forest,Central Asia,Secondary,21,Plantation,44.039,122.2,3.76,3.76,tC/ha,42.37899758,118.8289881,-,-,
10016,Tropical,Moist Deciduous Forest,Eastern Asia,Secondary,21,Natural,31.819,31.819,0.423,0.423,tC/ha,-12.079,75.717,0.0423,0.8037,
10017,Tropical,Moist Deciduous Forest,Eastern Asia,Secondary,21,Plantation,44.039,122.2,3.76,3.76,tC/ha,42.37899758,118.8289881,-,-,
10018,Tropical,Moist Deciduous Forest,South-Eastern Asia,Secondary,21,Natural,31.819,31.819,0.423,0.423,tC/ha,-12.079,75.717,0.0423,0.8037,
10019,Tropical,Moist Deciduous Forest,South-Eastern Asia,Secondary,21,Plantation,44.039,122.2,3.76,3.76,tC/ha,42.37899758,118.8289881,-,-,
10020,Tropical,Moist Deciduous Forest,Southern Asia,Secondary,21,Natural,31.819,31.819,0.423,0.423,tC/ha,-12.079,75.717,0.0423,0.8037,
10021,Tropical,Moist Deciduous Forest,Southern Asia,Secondary,21,Plantation,44.039,122.2,3.76,3.76,tC/ha,42.37899758,118.8289881,-,-,
10022,Tropical,Moist Deciduous Forest,Western Asia,Secondary,21,Natural,31.819,31.819,0.423,0.423,tC/ha,-12.079,75.717,0.0423,0.8037,
10023,Tropical,Moist Deciduous Forest,Western Asia,Secondary,21,Plantation,44.039,122.2,3.76,3.76,tC/ha,42.37899758,118.8289881,-,-,
10024,Tropical,Moist Deciduous Forest,Central Asia,Secondary,0,Natural,31.819,31.819,1.128,1.128,tC/ha,-12.079,75.717,0.987,1.269,
10025,Tropical,Moist Deciduous Forest,Central Asia,Secondary,0,Plantation,2.679,94.94,3.76,3.76,tC/ha,-7.370194648,83.64649465,-,-,
10026,Tropical,Moist Deciduous Forest,Eastern Asia,Secondary,0,Natural,31.819,31.819,1.128,1.128,tC/ha,-12.079,75.717,0.987,1.269,
10027,Tropical,Moist Deciduous Forest,Eastern Asia,Secondary,0,Plantation,2.679,94.94,3.76,3.76,tC/ha,-7.370194648,83.64649465,-,-,
10028,Tropical,Moist Deciduous Forest,South-Eastern Asia,Secondary,0,Natural,31.819,31.819,1.128,1.128,tC/ha,-12.079,75.717,0.987,1.269,
10029,Tropical,Moist Deciduous Forest,South-Eastern Asia,Secondary,0,Plantation,2.679,94.94,3.76,3.76,tC/ha,-7.370194648,83.64649465,-,-,
10030,Tropical,Moist Deciduous Forest,Southern Asia,Secondary,0,Natural,31.819,31.819,1.128,1.128,tC/ha,-12.079,75.717,0.987,1.269,
10031,Tropical,Moist Deciduous Forest,Southern Asia,Secondary,0,Plantation,2.679,94.94,3.76,3.76,tC/ha,-7.370194648,83.64649465,-,-,
10032,Tropical,Moist Deciduous Forest,Western Asia,Secondary,0,Natural,31.819,31.819,1.128,1.128,tC/ha,-12.079,75.717,0.987,1.269,
10033,Tropical,Moist Deciduous Forest,Western Asia,Secondary,0,Plantation,2.679,94.94,3.76,3.76,tC/ha,-7.370194648,83.64649465,-,-,
10034,Tropical,Moist Deciduous Forest,Europe,Primary,0,Natural,84.6,84.6,2.35,2.35,tC/ha,N/A,N/A,N/A,N/A,
10035,Tropical,Moist Deciduous Forest,Europe,Secondary,21,Natural,84.6,84.6,2.35,2.35,tC/ha,N/A,N/A,N/A,N/A,
10036,Tropical,Moist Deciduous Forest,Europe,Secondary,21,Plantation,56.4,56.4,4.7,4.7,tC/ha,N/A,N/A,N/A,N/A,
10037,Tropical,Moist Deciduous Forest,Europe,Secondary,0,Natural,84.6,84.6,2.35,2.35,tC/ha,N/A,N/A,N/A,N/A,
10038,Tropical,Moist Deciduous Forest,Europe,Secondary,0,Plantation,56.4,56.4,4.7,4.7,tC/ha,N/A,N/A,N/A,N/A,
10039,Tropical,Moist Deciduous Forest,Oceania,Primary,0,Natural,84.6,84.6,2.35,2.35,tC/ha,N/A,N/A,N/A,N/A,
10040,Tropical,Moist Deciduous Forest,Oceania,Secondary,21,Natural,84.6,84.6,2.35,2.35,tC/ha,N/A,N/A,N/A,N/A,
10041,Tropical,Moist Deciduous Forest,Oceania,Secondary,21,Plantation,56.4,56.4,4.7,4.7,tC/ha,N/A,N/A,N/A,N/A,
10042,Tropical,Moist Deciduous Forest,Oceania,Secondary,0,Natural,84.6,84.6,2.35,2.35,tC/ha,N/A,N/A,N/A,N/A,
10043,Tropical,Moist Deciduous Forest,Oceania,Secondary,0,Plantation,56.4,56.4,4.7,4.7,tC/ha,N/A,N/A,N/A,N/A,
10044,Tropical,Dry Forest,Eastern Africa,Primary,0,Natural,32.712,32.712,0.752,0.752,tC/ha,10.387,55.037,N/A,N/A,
10045,Tropical,Dry Forest,Central Africa,Primary,0,Natural,32.712,32.712,0.752,0.752,tC/ha,10.387,55.037,N/A,N/A,
10046,Tropical,Dry Forest,Northern Africa,Primary,0,Natural,32.712,32.712,0.752,0.752,tC/ha,10.387,55.037,N/A,N/A,
10047,Tropical,Dry Forest,Southern Africa,Primary,0,Natural,32.712,32.712,0.752,0.752,tC/ha,10.387,55.037,N/A,N/A,
10048,Tropical,Dry Forest,Western Africa,Primary,0,Natural,32.712,32.712,0.752,0.752,tC/ha,10.387,55.037,N/A,N/A,
10049,Tropical,Dry Forest,Eastern Africa,Secondary,21,Natural,32.712,32.712,0.752,0.752,tC/ha,10.387,55.037,0.0752,1.4288,
10050,Tropical,Dry Forest,Eastern Africa,Secondary,21,Plantation,28.2,91.133,2.82,6.11,tC/ha,0.903470631,91.66302937,3.29,4.7,
10051,Tropical,Dry Forest,Central Africa,Secondary,21,Natural,32.712,32.712,0.752,0.752,tC/ha,10.387,55.037,0.0752,1.4288,
10052,Tropical,Dry Forest,Central Africa,Secondary,21,Plantation,28.2,91.133,2.82,6.11,tC/ha,0.903470631,91.66302937,3.29,4.7,
10053,Tropical,Dry Forest,Northern Africa,Secondary,21,Natural,32.712,32.712,0.752,0.752,tC/ha,10.387,55.037,0.0752,1.4288,
