id,ipcc_region,livestock_production_type,livestock_category_type,value,value_min,value_max,"source: Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, tables 10.10, 10.11;  IPCC 2006, Section 10.3.4, p. 10.4; Wang, S.-Y. & Huang, D.-J. 2005. Assessment of Greenhouse Gas Emissions from Poultry Enteric Fermentation. Asian-Australasian Journal of Animal Sciences, 18(6): 873–878. https://doi.org/10.5713/ajas.2005.873."
1351,South Asia,Low-Productivity,Breeding Swine,1,0.7,1.3,
1352,South Asia,Low-Productivity,Goats,5,3.5,6.5,
1353,South Asia,Low-Productivity,Horses,18,12.6,23.4,
1354,South Asia,Low-Productivity,Camels,46,32.2,59.8,
1355,South Asia,Low-Productivity,Mules And Asses,10,7,13,
1356,South Asia,Low-Productivity,Deer,20,14,26,
1357,South Asia,Low-Productivity,Ostrich,5,3.5,6.5,
1358,South Asia,Low-Productivity,Chicken Layer,4.87E-05,N/A,N/A,
1359,South Asia,Low-Productivity,Chicken Broiler,4.87E-05,N/A,N/A,
1360,South Asia,Low-Productivity,Llamas And Alpacas,8,5.6,10.4,
1361,Sub-Saharan Africa,Default,Dairy Cattle,76,53.2,98.8,
1362,Sub-Saharan Africa,Default,Other Cattle,52,36.4,67.6,
1363,Sub-Saharan Africa,Default,Dairy Buffalo,81,56.7,105.3,
1364,Sub-Saharan Africa,Default,Other Buffalo,81,56.7,105.3,
1365,Sub-Saharan Africa,Default,Dairy Sheep,5,3.5,6.5,
1366,Sub-Saharan Africa,Default,Other Sheep,5,3.5,6.5,
1367,Sub-Saharan Africa,Default,Growing Swine,1,0.7,1.3,
