id,climate,region,forest_type,land_use_type,threshold,value,threshold_min,threshold_max,value_min,value_max,"Source: 2019 Refinement to the 2006 IPCC Guidelines for National Greenhouse Gas Inventories, IPCC (2019), Volume 4 AFOLU, table 4.4."
454,Warm Temperate,South-Eastern Asia,Plantation,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
455,Warm Temperate,Southern Asia,Plantation,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
456,Warm Temperate,Western Asia,Plantation,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
457,Warm Temperate,Europe,Plantation,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
458,Warm Temperate,Oceania,Plantation,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
459,Warm Temperate,North America,Plantation,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
460,Warm Temperate,South America,Plantation,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
461,Warm Temperate,Central America,Plantation,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
462,Warm Temperate,Caribbean,Plantation,Mountain System,125,0.27,N/A,N/A,0.27,0.28,
463,Cool Temperate,Central Africa,Natural,Oceanic Forest,125,0.44,N/A,N/A,0.044,0.836,
464,Cool Temperate,Northern Africa,Natural,Oceanic Forest,125,0.44,N/A,N/A,0.044,0.836,
465,Cool Temperate,Southern Africa,Natural,Oceanic Forest,125,0.44,N/A,N/A,0.044,0.836,
466,Cool Temperate,Western Africa,Natural,Oceanic Forest,125,0.44,N/A,N/A,0.044,0.836,
467,Cool Temperate,Central Asia,Natural,Oceanic Forest,125,0.267,N/A,N/A,0.0267,0.5073,
468,Cool Temperate,Eastern Asia,Natural,Oceanic Forest,125,0.267,N/A,N/A,0.0267,0.5073,
469,Cool Temperate,South-Eastern Asia,Natural,Oceanic Forest,125,0.267,N/A,N/A,0.0267,0.5073,
470,Cool Temperate,Southern Asia,Natural,Oceanic Forest,125,0.267,N/A,N/A,0.0267,0.5073,
471,Cool Temperate,Western Asia,Natural,Oceanic Forest,125,0.267,N/A,N/A,0.0267,0.5073,
472,Cool Temperate,Europe,Natural,Oceanic Forest,125,0.276,N/A,N/A,0.0276,0.5244,
473,Cool Temperate,Oceania,Natural,Oceanic Forest,125,0.339,N/A,N/A,0.0339,0.6441,
474,Cool Temperate,North America,Natural,Oceanic Forest,125,0.402,N/A,N/A,0.0402,0.7638,
475,Cool Temperate,South America,Natural,Oceanic Forest,125,0.466,N/A,N/A,0.0466,0.8854,
476,Cool Temperate,Central America,Natural,Oceanic Forest,125,0.466,N/A,N/A,0.0466,0.8854,
477,Cool Temperate,Caribbean,Natural,Oceanic Forest,125,0.466,N/A,N/A,0.0466,0.8854,
478,Cool Temperate,Central Africa,Natural,Continental Forest,125,0.44,N/A,N/A,0.044,0.836,
479,Cool Temperate,Northern Africa,Natural,Continental Forest,125,0.44,N/A,N/A,0.044,0.836,
480,Cool Temperate,Southern Africa,Natural,Continental Forest,125,0.44,N/A,N/A,0.044,0.836,
481,Cool Temperate,Western Africa,Natural,Continental Forest,125,0.44,N/A,N/A,0.044,0.836,
482,Cool Temperate,Central Asia,Natural,Continental Forest,125,0.243,N/A,N/A,0.0243,0.4617,
483,Cool Temperate,Eastern Asia,Natural,Continental Forest,125,0.243,N/A,N/A,0.0243,0.4617,
484,Cool Temperate,South-Eastern Asia,Natural,Continental Forest,125,0.243,N/A,N/A,0.0243,0.4617,
485,Cool Temperate,Southern Asia,Natural,Continental Forest,125,0.243,N/A,N/A,0.0243,0.4617,
486,Cool Temperate,Western Asia,Natural,Continental Forest,125,0.243,N/A,N/A,0.0243,0.4617,
487,Cool Temperate,Europe,Natural,Continental Forest,125,0.44,N/A,N/A,0.044,0.836,
488,Cool Temperate,Oceania,Natural,Continental Forest,125,0.44,N/A,N/A,0.044,0.836,
489,Cool Temperate,North America,Natural,Continental Forest,125,0.481,N/A,N/A,0.0481,0.9139,
490,Cool Temperate,South America,Natural,Continental Forest,125,0.481,N/A,N/A,0.0481,0.9139,
491,Cool Temperate,Central America,Natural,Continental Forest,125,0.481,N/A,N/A,0.0481,0.9139,
492,Cool Temperate,Caribbean,Natural,Continental Forest,125,0.481,N/A,N/A,0.0481,0.9139,
