site_location_type;peat_type;climate;moisture;module_type;co2;ch4;doc;n2o
Off-Site;Nutrient Rich;Tropical;Moist;Plantation;0;2259;0,82;0
Off-Site;Nutrient Rich;Tropical;Wet;Plantation;0;2259;0,82;0
Off-Site;Nutrient Rich;Tropical Montane;Dry;Plantation;0;2259;0,82;0
Off-Site;Nutrient Rich;Boreal;Dry;AnnualCropping;0;1165;0,12;0
Off-Site;Nutrient Rich;Boreal;Moist;AnnualCropping;0;1165;0,12;0
Off-Site;Nutrient Rich;Cool Temperate;Dry;AnnualCropping;0;1165;0,31;0
Off-Site;Nutrient Rich;Cool Temperate;Moist;AnnualCropping;0;1165;0,31;0
Off-Site;Nutrient Rich;Warm Temperate;Dry;AnnualCropping;0;1165;0,31;0
Off-Site;Nutrient Rich;Warm Temperate;Moist;AnnualCropping;0;1165;0,31;0
Off-Site;Nutrient Rich;Tropical;Dry;AnnualCropping;0;2259;0,82;0
Off-Site;Nutrient Rich;Tropical;Moist;AnnualCropping;0;2259;0,82;0
Off-Site;Nutrient Rich;Tropical;Wet;AnnualCropping;0;2259;0,82;0
Off-Site;Nutrient Rich;Tropical Montane;Dry;AnnualCropping;0;2259;0,82;0
Off-Site;Nutrient Rich;Boreal;Dry;PerennialCropping;0;1165;0,12;0
Off-Site;Nutrient Rich;Boreal;Moist;PerennialCropping;0;1165;0,12;0
Off-Site;Nutrient Rich;Cool Temperate;Dry;PerennialCropping;0;1165;0,31;0
Off-Site;Nutrient Rich;Cool Temperate;Moist;PerennialCropping;0;1165;0,31;0
Off-Site;Nutrient Rich;Warm Temperate;Dry;PerennialCropping;0;1165;0,31;0
Off-Site;Nutrient Rich;Warm Temperate;Moist;PerennialCropping;0;1165;0,31;0
Off-Site;Nutrient Rich;Tropical;Dry;PerennialCropping;0;2259;0,82;0
Off-Site;Nutrient Rich;Tropical;Moist;PerennialCropping;0;2259;0,82;0
Off-Site;Nutrient Rich;Tropical;Wet;PerennialCropping;0;2259;0,82;0
Off-Site;Nutrient Rich;Tropical Montane;Dry;PerennialCropping;0;2259;0,82;0
Off-Site;Nutrient Rich;Boreal;Dry;FloodedRice;0;0;0,12;0
Off-Site;Nutrient Rich;Boreal;Moist;FloodedRice;0;0;0,12;0
