land_use_type,continent,gt_20_yrs,le_20_yrs
Planted Temperate oceanic forest,Northern Africa,4.4,4.4
Planted Temperate oceanic forest,Southern Africa,4.4,4.4
Planted Temperate oceanic forest,Western Africa,4.4,4.4
Planted Temperate oceanic forest,Central Asia,4.4,4.4
Planted Temperate oceanic forest,Eastern Asia,4.4,4.4
Planted Temperate oceanic forest,South-eastern Asia,4.4,4.4
Planted Temperate oceanic forest,Southern Asia,4.4,4.4
Planted Temperate oceanic forest,Western Asia,4.4,4.4
Planted Temperate oceanic forest,Europe,4.4,4.4
Planted Temperate oceanic forest,Oceania,4.4,4.4
Planted Temperate oceanic forest,North America,10,6
Planted Temperate oceanic forest,South America,10,6
Planted Temperate oceanic forest,Central America,10,6
Planted Temperate oceanic forest,Caribbean,10,6
Planted Temperate desert,Eastern Africa,0,0
Planted Temperate desert,Central Africa,0,0
Planted Temperate desert,Northern Africa,0,0
Planted Temperate desert,Southern Africa,0,0
Planted Temperate desert,Western Africa,0,0
Planted Temperate desert,Central Asia,0,0
Planted Temperate desert,Eastern Asia,0,0
Planted Temperate desert,South-eastern Asia,0,0
Planted Temperate desert,Southern Asia,0,0
Planted Temperate desert,Western Asia,0,0
Planted Temperate desert,Europe,0,0
Planted Temperate desert,Oceania,0,0
Planted Temperate desert,North America,0,0
Planted Temperate desert,South America,0,0
Planted Temperate desert,Central America,0,0
Planted Temperate desert,Caribbean,0,0
Planted Temperate steppe,Eastern Africa,11,4
Planted Temperate steppe,Central Africa,11,4
Planted Temperate steppe,Northern Africa,11,4
Planted Temperate steppe,Southern Africa,11,4
Planted Temperate steppe,Western Africa,11,4
Planted Temperate steppe,Central Asia,11,4
Planted Temperate steppe,Eastern Asia,11,4
Planted Temperate steppe,South-eastern Asia,11,4
Planted Temperate steppe,Southern Asia,11,4
Planted Temperate steppe,Western Asia,11,4
Planted Temperate steppe,Europe,11,4
Planted Temperate steppe,Oceania,11,4
Planted Temperate steppe,North America,11,4
Planted Temperate steppe,South America,11,4
Planted Temperate steppe,Central America,11,4
Planted Temperate steppe,Caribbean,11,4
Planted Boreal coniferous forest,Eastern Africa,1,1
Planted Boreal coniferous forest,Central Africa,1,1
Planted Boreal coniferous forest,Northern Africa,1,1
Planted Boreal coniferous forest,Southern Africa,1,1
Planted Boreal coniferous forest,Western Africa,1,1
Planted Boreal coniferous forest,Central Asia,1,1
Planted Boreal coniferous forest,Eastern Asia,1,1
Planted Boreal coniferous forest,South-eastern Asia,1,1
Planted Boreal coniferous forest,Southern Asia,1,1
Planted Boreal coniferous forest,Western Asia,1,1
Planted Boreal coniferous forest,Europe,1,1
Planted Boreal coniferous forest,Oceania,1,1
Planted Boreal coniferous forest,North America,1,1
Planted Boreal coniferous forest,South America,1,1
Planted Boreal coniferous forest,Central America,1,1
Planted Boreal coniferous forest,Caribbean,1,1
Planted Boreal tundra woodland,Eastern Africa,0.4,0.4
Planted Boreal tundra woodland,Central Africa,0.4,0.4
Planted Boreal tundra woodland,Northern Africa,0.4,0.4
Planted Boreal tundra woodland,Southern Africa,0.4,0.4
Planted Boreal tundra woodland,Western Africa,0.4,0.4
Planted Boreal tundra woodland,Central Asia,0.4,0.4
Planted Boreal tundra woodland,Eastern Asia,0.4,0.4
Planted Boreal tundra woodland,South-eastern Asia,0.4,0.4
Planted Boreal tundra woodland,Southern Asia,0.4,0.4
Planted Boreal tundra woodland,Western Asia,0.4,0.4
Planted Boreal tundra woodland,Europe,0.4,0.4
Planted Boreal tundra woodland,Oceania,0.4,0.4
Planted Boreal tundra woodland,North America,0.4,0.4
Planted Boreal tundra woodland,South America,0.4,0.4
Planted Boreal tundra woodland,Central America,0.4,0.4
Planted Boreal tundra woodland,Caribbean,0.4,0.4
Planted Boreal mountain System,Eastern Africa,1,1
Planted Boreal mountain System,Central Africa,1,1
Planted Boreal mountain System,Northern Africa,1,1
Planted Boreal mountain System,Southern Africa,1,1
Planted Boreal mountain System,Western Africa,1,1
Planted Boreal mountain System,Central Asia,1,1
Planted Boreal mountain System,Eastern Asia,1,1
Planted Boreal mountain System,South-eastern Asia,1,1
Planted Boreal mountain System,Southern Asia,1,1
Planted Boreal mountain System,Western Asia,1,1
Planted Boreal mountain System,Europe,1,1
Planted Boreal mountain System,Oceania,1,1
Planted Boreal mountain System,North America,1,1
Planted Boreal mountain System,South America,1,1
Planted Boreal mountain System,Central America,1,1
Planted Boreal mountain System,Caribbean,1,1
